Request Number,142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
326.0,9.6,29.8,26.0
327.0,9.57,33.0,17.1
328.0,10.5,23.0,14.7
329.0,8.8,27.0,16.0
330.0,9.94,27.2,14.5
331.0,15.0,29.2,18.1
332.0,13.0,29.6,23.6
333.0,11.8,107.0,16.6
334.0,17.9,25.2,13.6
335.0,9.57,30.9,15.0
336.0,10.1,29.0,16.1
337.0,11.6,22.1,23.8
338.0,15.7,27.0,14.8
339.0,9.43,28.9,17.7
340.0,17.2,30.5,16.2
341.0,8.93,30.7,18.7
342.0,14.6,31.1,19.9
343.0,12.3,21.8,17.6
344.0,9.58,24.7,21.3
345.0,16.4,28.1,17.1
346.0,14.9,36.8,29.5
347.0,13.0,30.9,17.6
348.0,12.6,24.1,16.9
349.0,12.0,22.2,15.1
350.0,11.9,57.8,15.4
351.0,19.2,34.2,16.9
352.0,13.2,23.7,12.4
353.0,11.8,36.0,21.4
354.0,15.0,28.0,14.4
355.0,13.8,27.7,15.5
356.0,63.1,26.7,20.8
357.0,15.9,25.7,13.6
358.0,14.6,22.5,17.7
359.0,11.0,33.5,11.9
360.0,10.2,25.8,22.9
361.0,15.5,30.6,19.1
362.0,12.8,28.3,18.2
363.0,10.4,133.0,14.5
364.0,10.0,30.4,17.3
365.0,11.0,25.7,15.9
366.0,12.2,26.8,16.4
367.0,10.6,29.4,10.8
368.0,11.0,21.2,11.8
369.0,15.2,42.8,18.7
370.0,10.3,27.8,18.4
371.0,11.1,21.9,14.2
372.0,10.6,21.7,12.2
373.0,14.6,21.5,16.5
374.0,15.7,37.7,18.4
375.0,11.0,32.3,16.4
376.0,11.3,151.0,14.1
377.0,10.7,26.4,18.8
378.0,10.7,25.9,22.7
379.0,9.96,22.6,18.8
380.0,15.5,26.7,20.0
381.0,14.8,35.2,16.2
382.0,10.3,28.2,18.5
383.0,14.9,27.2,18.1
384.0,14.1,28.5,11.5
385.0,13.1,21.4,17.6
386.0,11.4,21.2,13.8
387.0,21.2,21.9,10.2
388.0,11.5,133.0,13.6
389.0,10.0,27.3,17.9
390.0,14.0,27.1,18.0
391.0,13.2,29.4,20.5
392.0,9.63,29.6,18.1
393.0,14.0,47.1,17.1
394.0,11.5,24.1,20.1
395.0,11.2,22.0,15.3
396.0,16.7,21.0,17.1
397.0,11.0,20.8,16.9
398.0,19.2,30.8,17.6
399.0,14.4,27.7,13.8
400.0,10.4,29.5,13.3
401.0,9.74,29.3,24.5
402.0,12.6,38.1,14.6
403.0,9.2,35.4,19.7
404.0,10.9,59.1,18.5
405.0,18.9,32.5,15.7
406.0,9.08,17.7,12.0
407.0,12.1,25.8,19.7
408.0,17.3,29.9,19.2
409.0,13.6,31.2,18.2
410.0,13.6,47.0,18.8
411.0,19.7,25.1,16.0
412.0,19.1,21.7,16.9
413.0,9.25,34.2,16.9
414.0,10.3,41.6,13.8
415.0,9.53,23.1,13.7
416.0,15.1,22.4,18.1
417.0,12.3,32.0,24.3
418.0,14.5,27.9,18.7
419.0,9.49,22.3,13.3
420.0,9.88,142.0,19.9
421.0,9.37,32.3,17.0
422.0,11.0,30.4,14.9
423.0,9.31,24.3,12.8
424.0,10.3,30.7,15.1
425.0,11.3,29.7,17.0
426.0,17.3,28.0,13.2
427.0,9.53,30.8,15.5
428.0,10.2,21.6,13.7
429.0,13.4,26.1,13.0
430.0,13.1,14.1,18.8
431.0,9.04,30.0,17.4
432.0,13.3,23.4,10.9
433.0,14.2,27.8,14.2
434.0,10.5,31.1,20.5
435.0,11.7,30.7,11.7
436.0,9.78,102.0,16.4
437.0,10.7,30.7,21.3
438.0,9.23,22.6,13.6
439.0,8.94,23.1,16.8
440.0,16.1,29.8,17.4
441.0,11.7,27.6,14.1
442.0,9.33,32.9,13.3
443.0,9.64,29.6,13.9
444.0,9.92,31.3,18.1
445.0,10.4,21.5,13.4
446.0,15.3,17.8,21.1
447.0,10.5,34.3,12.3
448.0,10.0,22.9,14.7
449.0,10.2,30.8,14.2
450.0,10.7,23.9,23.0
451.0,9.69,22.5,27.5
452.0,9.33,28.0,12.6
453.0,13.3,75.3,18.0
454.0,16.0,26.7,12.0
455.0,10.7,19.6,17.6
456.0,11.0,26.6,18.5
457.0,12.8,35.5,13.4
458.0,15.0,29.8,18.6
459.0,10.2,25.2,19.0
460.0,12.0,22.1,19.1
461.0,15.5,33.0,19.8
462.0,10.6,33.0,19.0
463.0,16.0,28.0,21.8
464.0,13.4,22.2,18.7
465.0,10.4,32.5,18.0
466.0,9.36,28.0,17.8
467.0,20.5,24.9,18.8
468.0,9.79,28.1,18.8
469.0,9.7,184.0,15.2
470.0,9.59,32.1,12.8
471.0,12.2,28.4,18.7
472.0,12.7,25.8,13.5
473.0,10.6,27.1,21.5
474.0,9.62,30.8,26.2
475.0,9.51,24.1,20.7
476.0,9.46,30.6,13.5
477.0,9.73,23.0,14.5
478.0,10.3,31.2,12.9
479.0,10.0,25.7,16.4
480.0,10.6,25.8,19.8
481.0,11.2,27.2,22.7
482.0,15.4,41.5,14.9
483.0,11.3,22.2,17.1
484.0,10.2,25.4,12.8
485.0,9.07,22.1,11.5
486.0,9.15,83.2,23.7
487.0,9.28,24.4,18.4
488.0,16.6,28.6,18.0
489.0,11.9,29.6,13.6
490.0,13.5,37.3,13.1
491.0,11.9,26.9,17.5
492.0,9.91,27.7,18.2
493.0,12.8,21.3,17.2
494.0,9.65,24.6,15.0
495.0,10.1,27.0,14.7
496.0,12.2,26.6,18.5
497.0,10.9,27.6,14.2
498.0,9.45,31.3,15.5
499.0,8.99,22.7,16.2
500.0,8.98,32.5,15.3
501.0,13.2,21.9,13.5
502.0,13.6,26.9,16.1
503.0,15.1,138.0,14.7
504.0,9.99,25.3,20.6
505.0,9.82,29.8,15.0
506.0,17.3,28.2,28.5
507.0,14.5,62.3,11.5
508.0,9.11,40.6,12.6
509.0,15.6,30.8,24.2
510.0,10.5,25.9,10.9
511.0,10.1,25.4,20.7
512.0,14.4,25.8,16.5
513.0,12.0,27.0,18.6
514.0,18.9,33.7,19.1
515.0,16.0,21.7,20.4
516.0,11.0,23.4,22.1
517.0,9.81,25.6,19.9
518.0,11.5,26.0,21.6
519.0,14.2,18.3,22.4
520.0,15.9,39.8,20.8
521.0,11.5,29.1,15.2
522.0,9.77,30.0,13.1
523.0,12.6,23.4,12.2
524.0,11.3,26.2,11.5
525.0,15.5,23.2,21.4
526.0,13.8,29.0,23.8
527.0,11.5,29.5,17.0
528.0,9.79,28.7,24.2
529.0,20.0,29.7,19.3
530.0,12.4,24.3,14.1
531.0,10.4,31.1,13.8
532.0,12.5,27.7,20.9
533.0,15.0,22.9,19.3
534.0,11.9,32.6,16.2
535.0,9.08,34.1,19.7
536.0,9.43,175.0,13.0
537.0,10.4,30.7,17.2
538.0,13.2,38.0,11.6
539.0,17.8,24.7,18.4
540.0,9.23,24.6,14.2
541.0,9.67,24.1,18.6
542.0,9.21,26.2,14.1
543.0,9.5,35.0,12.7
544.0,10.3,23.4,17.0
545.0,14.7,23.7,13.2
546.0,12.2,62.3,14.2
547.0,9.49,23.9,15.7
548.0,9.65,28.6,14.5
549.0,12.2,35.1,26.5
550.0,9.02,28.5,14.5
551.0,20.1,18.8,19.0
552.0,10.7,22.3,15.7
553.0,10.2,31.4,12.7
554.0,9.56,50.3,16.1
555.0,9.88,29.5,13.9
556.0,9.32,30.2,18.2
557.0,10.4,34.4,22.0
558.0,11.6,30.1,18.3
559.0,9.15,26.1,15.6
560.0,10.2,13.3,16.7
561.0,10.1,29.6,16.3
562.0,15.7,39.2,18.7
563.0,12.7,33.2,17.2
564.0,9.22,25.6,13.9
565.0,15.6,23.2,20.9
566.0,11.2,27.1,19.2
567.0,12.3,33.2,17.9
568.0,8.99,24.3,25.2
569.0,9.93,22.1,17.4
570.0,9.75,21.5,12.6
571.0,10.3,70.0,14.2
572.0,10.5,22.7,14.9
573.0,11.4,28.9,13.3
